Name: Ayush Jain
Date: 2020-04-27

IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, KEYPOINTS ON VEHICLE, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
6, SIFT, FREAK, 1396, 137, 139.571, 35.5833, 58, 0.2204
7, SIFT, FREAK, 1382, 148, 140.992, 33.8374, 64, 0.2294
8, SIFT, FREAK, 1463, 159, 140.901, 33.773, 65, 0.2534
9, SIFT, FREAK, 1422, 137, 140.864, 40.6686, 79, 0.2977

0, SIFT, SIFT, 1438, 138, 143.089, 57.5209, 0, 0
1, SIFT, SIFT, 1371, 132, 70.5969, 57.6073, 82, 0.2441
2, SIFT, SIFT, 1380, 124, 73.1493, 55.9486, 81, 0.212
3, SIFT, SIFT, 1335, 137, 71.3071, 54.7329, 85, 0.242
4, SIFT, SIFT, 1305, 134, 89.3708, 53.9894, 93, 0.2226
5, SIFT, SIFT, 1369, 140, 94.5944, 58.6033, 90, 0.2109
6, SIFT, SIFT, 1396, 137, 71.514, 56.6004, 81, 0.2531
7, SIFT, SIFT, 1382, 148, 83.5837, 59.5244, 82, 0.2152
8, SIFT, SIFT, 1463, 159, 87.3914, 66.4343, 102, 0.2727
9, SIFT, SIFT, 1422, 137, 93.1114, 69.1031, 104, 0.2738

